origin,destination,depart_date,gate,price_eur_new,price_eur_old,price_diff,change_pct,route,change_type
BCN,MAD,2025-08-04,City.Travel,114,113,1,0.8849557522123894,BCN → MAD,Stable (±1%)
BCN,MAD,2025-07-28,City.Travel,115,114,1,0.8771929824561403,BCN → MAD,Stable (±1%)
BCN,MAD,2025-06-24,Aviakassa,120,119,1,0.8403361344537815,BCN → MAD,Stable (±1%)
BCN,MAD,2025-07-11,City.Travel,121,120,1,0.8333333333333334,BCN → MAD,Stable (±1%)
BCN,MAD,2025-08-24,City.Travel,124,123,1,0.8130081300813009,BCN → MAD,Stable (±1%)
BCN,MAD,2025-06-30,Aviakassa,124,123,1,0.8130081300813009,BCN → MAD,Stable (±1%)
BCN,MAD,2025-06-26,Kupi.com,125,124,1,0.8064516129032258,BCN → MAD,Stable (±1%)
BCN,MAD,2025-06-28,City.Travel,125,124,1,0.8064516129032258,BCN → MAD,Stable (±1%)
BCN,MAD,2025-06-23,City.Travel,134,133,1,0.7518796992481203,BCN → MAD,Stable (±1%)
BCN,MAD,2025-06-30,City.Travel,134,133,1,0.7518796992481203,BCN → MAD,Stable (±1%)
BCN,MAD,2025-06-21,Kupi.com,138,137,1,0.7299270072992701,BCN → MAD,Stable (±1%)
BCN,FRA,2025-07-15,City.Travel,111,110,1,0.9090909090909091,BCN → FRA,Stable (±1%)
BCN,FRA,2025-07-05,City.Travel,186,185,1,0.5405405405405406,BCN → FRA,Stable (±1%)
BCN,FRA,2025-07-09,MEGO.travel,209,208,1,0.4807692307692308,BCN → FRA,Stable (±1%)
BCN,FRA,2025-06-21,Kupi.com,250,248,2,0.8064516129032258,BCN → FRA,Stable (±1%)
BCN,FRA,2025-07-03,Kiwi.com,256,254,2,0.7874015748031495,BCN → FRA,Stable (±1%)
BCN,FRA,2025-08-15,Aviakassa,270,268,2,0.7462686567164178,BCN → FRA,Stable (±1%)
IST,BCN,2025-11-12,Aviakassa,153,152,1,0.6578947368421052,IST → BCN,Stable (±1%)
IST,BCN,2025-11-12,Aviakassa,153,157,-4,-2.547770700636943,IST → BCN,Minor Drop (1-5%)
IST,BCN,2025-11-12,Aviakassa,153,162,-9,-5.555555555555555,IST → BCN,Major Drop (>5%)
